GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1281378723,20251229,202512,2025,2025.9836,CHN,CHINESE,CHN,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,013, Make optimistic comment,013,01,1,0.4,4,1,4,-5.12048192771084,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,1,Russia,RS,RS,,60.0,100.0,RS,20251229131500,https://tucson.com/opinion/letters/article_2eb7ca5e-7766-4e7f-a430-848a9a37ba2a.html
1281386663,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,010," Make statement, not specified below",010,01,1,0.0,1,1,1,2.61437908496732,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,20251229141500,https://www.plenglish.com/news/2025/12/29/russia-and-china-want-to-cooperate-in-ai-and-aviation-electronics/
1281386664,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,2,1,2,2.61437908496732,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20251229141500,https://www.plenglish.com/news/2025/12/29/russia-and-china-want-to-cooperate-in-ai-and-aviation-electronics/
1281386665,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,8,1,8,2.61437908496732,1,China,CH,CH,,35.0,105.0,CH,1,Russia,RS,RS,,60.0,100.0,RS,1,China,CH,CH,,35.0,105.0,CH,20251229141500,https://www.plenglish.com/news/2025/12/29/russia-and-china-want-to-cooperate-in-ai-and-aviation-electronics/
1281387231,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,030," Express intent to cooperate, not specified below",030,03,1,4.0,10,1,10,2.61437908496732,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20251229141500,https://www.plenglish.com/news/2025/12/29/russia-and-china-want-to-cooperate-in-ai-and-aviation-electronics/
1281387232,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,2,1,2,2.61437908496732,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20251229141500,https://www.plenglish.com/news/2025/12/29/russia-and-china-want-to-cooperate-in-ai-and-aviation-electronics/
1281387233,20251229,202512,2025,2025.9836,RUS,RUSSIA,RUS,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,057, Sign formal agreement,057,05,1,8.0,8,1,8,2.61437908496732,1,Russia,RS,RS,,60.0,100.0,RS,1,China,CH,CH,,35.0,105.0,CH,1,China,CH,CH,,35.0,105.0,CH,20251229141500,https://www.plenglish.com/news/2025/12/29/russia-and-china-want-to-cooperate-in-ai-and-aviation-electronics/
1281390253,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,051, Praise or endorse,051,05,1,3.4,2,1,2,1.55763239875389,4,"Taiwan Strait, Taiwan (general), Taiwan",TW,TW00,,24.0,119.0,-2637942,4,"Lin Jian, Shanghai, China",CH,CH23,13243,30.9348,121.026,10861193,4,"Lin Jian, Shanghai, China",CH,CH23,13243,30.9348,121.026,10861193,20251229144500,https://sl.china-embassy.gov.cn/eng/fyrth/202512/t20251229_11789802.htm
1281390254,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,051, Praise or endorse,051,05,1,3.4,2,1,2,1.55763239875389,4,"Lin Jian, Shanghai, China",CH,CH23,13243,30.9348,121.026,10861193,4,"Lin Jian, Shanghai, China",CH,CH23,13243,30.9348,121.026,10861193,4,"Lin Jian, Shanghai, China",CH,CH23,13243,30.9348,121.026,10861193,20251229144500,https://sl.china-embassy.gov.cn/eng/fyrth/202512/t20251229_11789802.htm
1281390255,20251229,202512,2025,2025.9836,CHN,CHINA,CHN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,0,051, Praise or endorse,051,05,1,3.4,6,1,6,1.55763239875389,4,"Lin Jian, Shanghai, China",CH,CH23,13243,30.9348,121.026,10861193,1,Russia,RS,RS,,60.0,100.0,RS,4,"Lin Jian, Shanghai, China",CH,CH23,13243,30.9348,121.026,10861193,20251229144500,https://sl.china-embassy.gov.cn/eng/fyrth/202512/t20251229_11789802.htm
