product_id,product_sitc_code,product_level,product_name,product_name_short,product_parent_id,product_id_hierarchy,show_feasibility
658,0113,4,"Pig meat fresh, chilled or frozen","Pig meat fresh, chilled or frozen",101,1.101.658,True
659,0114,4,"Poultry, dead and edible offal, fresh, chilled or frozen","Poultry, dead and edible offal, fresh, chilled or frozen",101,1.101.659,True
660,0115,4,"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen","Meat of horses, asses, mules and hinnies, fresh, chilled or frozen",101,1.101.660,True
661,0116,4,"Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen","Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen",101,1.101.661,True
662,0118,4,"Other fresh, chilled or frozen meat or edible meat offal","Other fresh, chilled or frozen meat or edible meat offal",101,1.101.662,True
663,0121,4,"Bacon, ham, other dried, salted or smoked meat of domestic swine","Bacon, ham, other dried, salted or smoked meat of domestic swine",101,1.101.663,True
664,0129,4,"Meat and edible meat offal, nes, in brine, dried, salted or smoked","Meat and edible meat offal, nes, in brine, dried, salted or smoked",101,1.101.664,True
665,0141,4,Meat extracts and juices; fish extracts,Meat extracts and juices; fish extracts,101,1.101.665,True
666,0142,4,"Sausages and the like, of meat, meat offal or animal blood","Sausages and the like, of meat, meat offal or animal blood",101,1.101.666,True
667,0149,4,Other prepared or preserved meat or meat offal,Other prepared or preserved meat or meat offal,101,1.101.667,True
668,0223,4,"Milk and cream fresh, not concentrated or sweetened","Milk and cream fresh, not concentrated or sweetened",102,1.102.668,True
669,0224,4,"Milk and cream, preserved, concentrated or sweetened","Milk and cream, preserved, concentrated or sweetened",102,1.102.669,True
670,0230,4,Butter,Butter,102,1.102.670,True
671,0240,4,Cheese and curd,Cheese and curd,102,1.102.671,True
672,0251,4,"Eggs, birds', and egg yolks, fresh, dried or preserved, in shell","Eggs, birds', and egg yolks, fresh, dried or preserved, in shell",102,1.102.672,True
673,0252,4,"Eggs, birds', egg yolks, fresh, dried or preserved, not in shell","Eggs, birds', egg yolks, fresh, dried or preserved, not in shell",102,1.102.673,True
674,0341,4,"Fish, fresh or chilled, excluding fillet","Fish, fresh or chilled, excluding fillet",103,1.103.674,True
675,0342,4,"Fish, frozen, excluding fillets","Fish, frozen, excluding fillets",103,1.103.675,True
676,0343,4,"Fish fillets, fresh or chilled","Fish fillets, fresh or chilled",103,1.103.676,True
677,0344,4,"Fish fillets, frozen","Fish fillets, frozen",103,1.103.677,True
678,0350,4,"Fish, dried, salted or in brine; smoked fish","Fish, dried, salted or in brine; smoked fish",103,1.103.678,True
679,0360,4,"Crustaceans and molluscs, fresh, chilled, frozen, salted, etc","Crustaceans and molluscs, fresh, chilled, frozen, salted, etc",103,1.103.679,False
680,0371,4,"Fish, prepared or preserved, nes","Fish, prepared or preserved, nes",103,1.103.680,True
681,0372,4,"Crustaceans and molluscs, prepared or prepared, nes","Crustaceans and molluscs, prepared or prepared, nes",103,1.103.681,True
682,0411,4,"Durum wheat, unmilled","Durum wheat, unmilled",104,1.104.682,True
683,0412,4,"Other wheat and meslin, unmilled","Other wheat and meslin, unmilled",104,1.104.683,True
684,0421,4,"Rice in the husk or husked, but not farther prepared","Rice in the husk or husked, but not farther prepared",104,1.104.684,True
685,0422,4,"Rice, semi-milled or wholly milled","Rice, semi-milled or wholly milled",104,1.104.685,True
686,0430,4,"Barley, unmilled","Barley, unmilled",104,1.104.686,True
687,0440,4,"Maize, unmilled","Maize, unmilled",104,1.104.687,True
