Country,Year,Variable,Unit,Value
Bangladesh,2017,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.129800642
Bangladesh,2024,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,135.4977929
Bangladesh,2024,Fossil Fuel Consumption,Exajoules,1.882542312
Bangladesh,2024,Renewable Energy Consumption,Share of Total Energy Consumption,0.00455888
Bangladesh,2024,Carbon Intensity,tonne CO2-eq per Megajoule,71.64783254
Bangladesh,2024,Energy Consumption per Capita,Gigajoules per capita,10.8961634
Bangladesh,2024,Economy-wide Energy Intensity,Megajoules per $ GDP,1.622776173
Bangladesh,2024,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.116268395
Belarus,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,95.64029706
Belarus,1990,Fossil Fuel Consumption,Exajoules,1.6772881
Belarus,1990,Renewable Energy Consumption,Share of Total Energy Consumption,4.29246E-05
Belarus,1990,Carbon Intensity,tonne CO2-eq per Megajoule,57.01834572
Belarus,1990,Energy Consumption per Capita,Gigajoules per capita,164.6688855
Belarus,1990,Economy-wide Energy Intensity,Megajoules per $ GDP,180.2369163
Belarus,1990,Economic Carbon Intensity,kg CO2-eq per $ GDP,10.2768108
Belarus,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,64.43392456
Belarus,2008,Fossil Fuel Consumption,Exajoules,1.073931221
Belarus,2008,Renewable Energy Consumption,Share of Total Energy Consumption,0.000744372
Belarus,2008,Carbon Intensity,tonne CO2-eq per Megajoule,59.95352343
Belarus,2008,Energy Consumption per Capita,Gigajoules per capita,112.781075
Belarus,2008,Economy-wide Energy Intensity,Megajoules per $ GDP,7.23992886
Belarus,2008,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.434059245
Belarus,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,64.4603691
Belarus,2012,Fossil Fuel Consumption,Exajoules,1.16776805
Belarus,2012,Renewable Energy Consumption,Share of Total Energy Consumption,0.002168803
Belarus,2012,Carbon Intensity,tonne CO2-eq per Megajoule,55.07991772
Belarus,2012,Energy Consumption per Capita,Gigajoules per capita,123.670802
Belarus,2012,Economy-wide Energy Intensity,Megajoules per $ GDP,6.818821772
Belarus,2012,Economic Carbon Intensity,kg CO2-eq per $ GDP,0.375580142
Belarus,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,59.22896039
Belarus,2017,Fossil Fuel Consumption,Exajoules,0.99259381
Belarus,2017,Renewable Energy Consumption,Share of Total Energy Consumption,0.004041217
