Year,HS2,Value,TotalValue,Share,ShareSquared
2012,21,1430.1209999999999,171638989.618,8.33214529625745e-06,6.942464523794515e-11
2012,22,8048.803,171638989.618,4.6893791544179024e-05,2.1990276853889163e-09
2012,23,72640.857,171638989.618,0.0004232188569838916,1.7911420090675172e-07
2012,25,2624160.144,171638989.618,0.01528883472129692,0.00023374846713513424
2012,26,6108198.865,171638989.618,0.03558747857112429,0.0012664686310502307
2012,27,99586466.703,171638989.618,0.580208884500193,0.33664234965295836
2012,28,2608156.4669999997,171638989.618,0.01519559438566212,0.00023090608873356614
2012,29,2372557.8910000003,171638989.618,0.013822954191704163,0.0001910740625859517
2012,30,614.61,171638989.618,3.580829748344924e-06,1.2822341686631973e-11
2012,31,4794929.664,171638989.618,0.02793613312844362,0.000780427534170125
2012,32,9994.054,171638989.618,5.8227177998674905e-05,3.3904042576893708e-09
2012,33,243.78000000000003,171638989.618,1.4203066595914902e-06,2.017271007279937e-12
2012,34,77280.433,171638989.618,0.000450249871384092,2.027249466813914e-07
2012,35,10.377,171638989.618,6.045829110911843e-08,3.655204963834909e-15
2012,37,1.32,171638989.618,7.69056030298124e-09,5.914471777379089e-17
2012,38,13260.748,171638989.618,7.725953193684687e-05,5.969035275100661e-09
2012,39,1183201.073,171638989.618,0.006893544850347431,4.7520960603751585e-05
2012,40,848896.3849999999,171638989.618,0.004945824878655514,2.4461183730327832e-05
2012,41,20964.045,171638989.618,0.00012214034262644874,1.4918263296906293e-08
2012,42,67.267,171638989.618,3.9190978780351445e-07,1.5359328177619573e-13
2012,43,39209.564,171638989.618,0.0002284420578754563,5.2185773806373326e-08
2012,44,9128869.725,171638989.618,0.053186456907706264,0.0028287991983952953
2012,47,1995065.9409999999,171638989.618,0.011623617369457964,0.00013510848075156485
2012,48,292312.263,171638989.618,0.0017030644590169785,2.9004285515667935e-06
2012,49,56352.583999999995,171638989.618,0.0003283204132430422,1.07794293752082e-07
2012,50,2978.042,171638989.618,1.7350614837735498e-05,3.010438352474472e-10
2012,51,3537.942,171638989.618,2.061269416625004e-05,4.248831607913584e-10
2012,52,27.54,171638989.618,1.604530535940177e-07,2.5745182407644713e-14
2012,53,201.788,171638989.618,1.1756536230439231e-06,1.382161441376303e-12
2012,54,1476.0059999999999,171638989.618,8.599479659516763e-06,7.395105041444255e-11
2012,55,650.3009999999999,171638989.618,3.7887720118098506e-06,1.4354793357473663e-11
2012,56,1102.385,171638989.618,6.4226956966681624e-06,4.1251020011999735e-11
2012,57,18.674999999999997,171638989.618,1.0880394974104138e-07,1.183829947925106e-14
2012,58,0.66,171638989.618,3.84528015149062e-09,1.4786179443447723e-17
2012,59,1126.3690000000001,171638989.618,6.562430846900513e-06,4.306549862035139e-11
2012,60,279.258,171638989.618,1.6270079462802538e-06,2.6471548572590895e-12
2012,61,28.947000000000003,171638989.618,1.6865049173514998e-07,2.844298836250789e-14
2013, T,35625419.978,168969090.76000002,0.21083986318303366,0.04445344790704035
2013,01,1045815.733,168969090.76000002,0.0061893907832258725,3.830855826748138e-05
2013,03,3043573.759,168969090.76000002,0.018012606597516852,0.00032445399643690764
2013,04,1296.951,168969090.76000002,7.675670113193429e-06,5.891591168657083e-11
2013,05,42033.135,168969090.76000002,0.0002487622725016787,6.188266822019945e-08
2013,06,39848.115,168969090.76000002,0.00023583079497420853,5.561616385816718e-08
2013,07,4027.362,168969090.76000002,2.383490366128783e-05,5.68102632542872e-10
2013,08,26372.121,168969090.76000002,0.00015607659887013526,2.4359904714869106e-08
2013,09,12.993,168969090.76000002,7.689572064073525e-08,5.912951852857997e-15
2013,10,4000.734,168969090.76000002,2.3677312708526998e-05,5.60615137097374e-10
2013,11,10816.321,168969090.76000002,6.401360717128593e-05,4.097741903079709e-09
2013,12,50676.240000000005,168969090.76000002,0.0002999142610761836,8.994856399687322e-08
2013,13,50.478,168969090.76000002,2.9874102874648146e-07,8.924620225650606e-14
2013,15,21622.686,168969090.76000002,0.00012796829232343085,1.637588384017505e-08
2013,16,62197.948,168969090.76000002,0.0003681025193438757,1.354994647473084e-07
2013,17,279.628,168969090.76000002,1.6549062242228518e-06,2.738714610971536e-12
2013,18,696.492,168969090.76000002,4.122008332217884e-06,1.699095269087366e-11
2013,19,773.057,168969090.76000002,4.5751385447059855e-06,2.0931892703254403e-11
2013,20,758.105,168969090.76000002,4.4866489876352335e-06,2.0130019138248267e-11
2013,21,1522.674,168969090.76000002,9.011553492719995e-06,8.120809635215394e-11
2013,22,16336.739,168969090.76000002,9.668477782841563e-05,9.347946263730092e-09
2013,23,114884.922,168969090.76000002,0.0006799167911909997,4.6228684294346545e-07
2013,24,44809.551,168969090.76000002,0.0002651937747812498,7.032773818272823e-08
2013,25,2166027.224,168969090.76000002,0.012819073679437486,0.00016432864999884692
2013,26,5473766.025,168969090.76000002,0.03239507297091879,0.001049440752791153
2013,27,100711296.04,168969090.76000002,0.5960338401953533,0.35525633865802
2013,28,1723322.857,168969090.76000002,0.010199042021524338,0.00010402045815681926
2013,29,1638971.9330000002,168969090.76000002,0.009699832825211564,9.408675683705176e-05
2013,30,778.4879999999999,168969090.76000002,4.607280517983891e-06,2.122703377139391e-11
2013,31,2891284.892,168969090.76000002,0.01711132420133998,0.0002927974159233633
2013,32,7450.256,168969090.76000002,4.409241930870173e-05,1.9441414404943733e-09
2013,33,134.976,168969090.76000002,7.988206564460771e-07,6.381144411649416e-13
2013,34,82476.578,168969090.76000002,0.0004881163627562387,2.3825758359038002e-07
2013,35,0.645,168969090.76000002,3.817266205901196e-09,1.457152128671531e-17
2013,36,83.647,168969090.76000002,4.95043203604678e-07,2.450677734351827e-13
2013,37,15.347999999999999,168969090.76000002,9.083318097390937e-08,8.250666765838971e-15
2013,38,27087.988,168969090.76000002,0.00016031327314458468,2.5700345546330215e-08
2013,39,1431135.707,168969090.76000002,0.00846980770603041,7.173764257713212e-05
2013,40,614188.729,168969090.76000002,0.0036349176422590815,1.321262626600632e-05
2013,41,36513.608,168969090.76000002,0.00021609637499833107,4.6697643287419323e-08
2013,42,1925.191,168969090.76000002,1.139374658016299e-05,1.2981746113297582e-10
2013,43,82242.343,168969090.76000002,0.00048673010329927863,2.3690619345772644e-07
2013,44,9669647.864,168969090.76000002,0.05722731785149129,0.0032749659084756132
2013,46,1.17,168969090.76000002,6.924343350239377e-09,4.794653083200428e-17
2013,47,1806177.5990000002,168969090.76000002,0.010689396450416219,0.00011426319647417085
2013,48,335965.93799999997,168969090.76000002,0.0019883277852113116,3.953447381443319e-06
2013,49,95955.964,168969090.76000002,0.0005678906335377856,3.2249977165994756e-07
2013,50,4115.85,168969090.76000002,2.4358597075284396e-05,5.933412514760536e-10
2013,51,5980.764,168969090.76000002,3.539560977158211e-05,1.2528491911021187e-09
2013,52,0.484,168969090.76000002,2.8644292149708193e-09,8.204954727578344e-18
2013,53,1708.634,168969090.76000002,1.0112109808455478e-05,1.0225476477826148e-10
2013,54,921.603,168969090.76000002,5.454269747530479e-06,2.9749058478826196e-11
2013,55,75.15,168969090.76000002,4.44755899803837e-07,1.9780781041032068e-13
2013,56,1203.909,168969090.76000002,7.1250250243105465e-06,5.0765981597051505e-11
2013,57,140.043,168969090.76000002,8.288083895705754e-07,6.869233466225707e-13
2013,59,414.579,168969090.76000002,2.4535789246144367e-06,6.020049539312136e-12
2013,60,40.293,168969090.76000002,2.384637321463207e-07,5.68649515491522e-14
2013,61,212.719,168969090.76000002,1.2589225582218549e-06,1.5848860075998596e-12
2014, T,37414604.118,178182777.159,0.20997879096144836,0.044091092653631626
2014,01,958230.317,178182777.159,0.005377794264284762,2.892067114897408e-05
2014,02,2.679,178182777.159,1.5035123162377332e-08,2.2605492850785534e-16
2014,03,2744203.1319999998,178182777.159,0.015401057137813222,0.0002371925609621876
2014,04,4671.8099999999995,178182777.159,2.621920072460845e-05,6.874464866373083e-10
2014,05,35982.399000000005,178182777.159,0.0002019409483549097,4.07801466224803e-08
2014,06,71794.78,178182777.159,0.0004029277191921556,1.6235074689339262e-07
2014,07,1217.8690000000001,178182777.159,6.8349422958720875e-06,4.67164361879012e-11
2014,08,44916.762,178182777.159,0.00025208251165553943,6.354559268256518e-08
2014,09,92.46600000000001,178182777.159,5.18939043797082e-07,2.692977311770298e-13
2014,10,18580.932,178182777.159,0.00010428017957885711,1.0874355852998687e-08
2014,11,12395.538,178182777.159,6.95664204904548e-05,4.839486859854769e-09
2014,12,90254.41399999999,178182777.159,0.0005065271483531889,2.565697520188134e-07
2014,15,47926.358,178182777.159,0.00026897301054654285,7.234648040247066e-08
2014,16,88778.986,178182777.159,0.0004982467296532187,2.4824980361012767e-07
2014,17,1436.472,178182777.159,8.061789264392122e-06,6.499244614346807e-11
2014,18,12323.028000000002,178182777.159,6.915947880306998e-05,4.7830335083122855e-09
2014,19,2202.654,178182777.159,1.2361767142255723e-05,1.5281328687935323e-10
2014,20,1007.0279999999999,178182777.159,5.651657337798627e-06,3.194123066389306e-11
2014,21,5254.022999999999,178182777.159,2.948670507762719e-05,8.694657763349651e-10
2014,22,22556.253,178182777.159,0.0001265905345041968,1.6025163426058243e-08
2014,23,159485.568,178182777.159,0.0008950672480409501,8.011453785155998e-07
2014,24,56740.151999999995,178182777.159,0.00031843791473385987,1.01402705540049e-07
2014,25,1392919.882,178182777.159,0.00781736542784401,6.111120223245076e-05
2014,26,3104225.66,178182777.159,0.017421580859243026,0.000303511479635143
2014,27,111016847.206,178182777.159,0.6230503810530182,0.38819177733031124
2014,28,1794596.7,178182777.159,0.010071661967635658,0.00010143837479031857
2014,29,1129134.537,178182777.159,0.006336945438853642,4.015687749500798e-05
2014,30,1181.632,178182777.159,6.631572472044142e-06,4.3977753451973647e-11
2014,31,2879275.659,178182777.159,0.016159113158454707,0.0002611169380677441
2014,32,6673.097,178182777.159,3.74508530307916e-05,1.4025663927339526e-09
2014,33,1078.603,178182777.159,6.0533516044455695e-06,3.664306564704375e-11
2014,34,8824.396,178182777.159,4.9524404887491565e-05,2.4526666794601985e-09
2014,35,391.263,178182777.159,2.1958519574024793e-06,4.8217658188283e-12
2014,36,253.31099999999998,178182777.159,1.4216357160824803e-06,2.0210481092413465e-12
2014,37,3.594,178182777.159,2.0170299606414383e-08,4.068409862125202e-16
2014,38,52802.351,178182777.159,0.0002963381301037992,8.781628735341622e-08
2014,39,1321786.979,178182777.159,0.007418152304476172,5.502898361240514e-05
2014,40,336897.641,178182777.159,0.001890741890835903,3.5749048977617254e-06
2014,41,23615.29,178182777.159,0.00013253407751596038,1.7565281703006594e-08
2014,42,3039.6009999999997,178182777.159,1.705889339286499e-05,2.9100584378913276e-10
2014,43,19311.159,178182777.159,0.00010837837027743618,1.1745871143993062e-08
