date,CHN_exp_to_RUS_bn,RUS_exp_to_CHN_bn,brent_usd,usd_rub,usd_cny,ln_CHN_exp_to_RUS_bn,ln_RUS_exp_to_CHN_bn,ln_brent_usd,ln_usd_rub,ln_usd_cny
2020-02-01,1.577585356,5.176760781,55.657000000000004,66.9909,6.996705263157895,0.4558954223687906,1.6441795288165983,4.01920785597466,4.20455678927095,1.9454393615605403
2020-03-01,3.131302975,4.942153085,32.01136363636363,77.7325,7.02045,1.1414492038716,1.5978010834120362,3.466090953398166,4.3532734453390995,1.9488273185473408
2020-04-01,3.961783813,4.267255144,18.3785,73.6894,7.070827272727272,1.376694381669002,1.4509707971217696,2.91118150315109,4.299858962528363,1.9559774847643163
2020-05-01,3.818466672,3.609586836,29.378947368421056,70.752,7.10159,1.3398489472736437,1.2835933159334085,3.3802783419357816,4.259180804675036,1.9603187026376028
2020-06-01,3.980661154,4.279710541,40.26681818181818,69.9513,7.08155909090909,1.3814479245955746,1.4538853766991762,3.6955277596190235,4.247799285642157,1.9574940940432175
2020-07-01,4.886363354,4.860451346,43.24217391304348,73.3633,7.004113636363636,1.5864483364233535,1.581131303147618,3.76681626701703,4.295423810578788,1.9464976387870834
2020-08-01,5.210221421,4.584076795,44.736000000000004,74.6382,6.927009523809524,1.6506223540944545,1.5225887321080622,3.8007785466113453,4.312652440492672,1.9354281939217985
2020-09-01,4.779753689,5.485725839,40.90954545454545,79.6845,6.810595238095239,1.5643890156777664,1.7021494166038584,3.711363421015378,4.378075087585254,1.9184795228167695
2020-10-01,4.717872714,4.679116097,40.18954545454546,79.3323,6.72542380952381,1.5513580018169706,1.5431092239293247,3.6936068984828814,4.373645359708452,1.9058949435057664
2020-11-01,4.754867751,4.588891354,42.69238095238095,75.8599,6.60285,1.559168882992279,1.5236384598219068,3.7540204722851414,4.328888218042114,1.8875013740075581
2020-12-01,5.237062011,5.259323266,49.99363636363637,73.8757,6.539295238095238,1.6557606561667164,1.6600023618186488,3.9118957246010124,4.302383951146683,1.8778293979032539
2021-01-01,4.744661308,5.035582854,54.774,76.2527,6.467177777777778,1.5570200507998733,1.616529279947462,4.003215628810999,4.334052824696673,1.8667398120785377
2021-02-01,4.148201557,5.134396805,62.2765,74.4373,6.460057894736842,1.4226748805560931,1.6359623690999678,4.131584147570328,4.309957160294109,1.8656382797879185
2021-03-01,4.124986907,6.422164878,65.41,75.7023,6.510860869565217,1.417062845721001,1.8597552692711066,4.180675151973121,4.326808543072995,1.8734716855062516
2021-04-01,5.088398543,5.806104553,64.8065,74.3823,6.518640909090909,1.6269631529623259,1.7589098731909034,4.171405906969629,4.309218010309778,1.8746659046840053
2021-05-01,4.695358855,5.767145118,68.53421052631579,73.587,6.432049999999999,1.5465745431791693,1.7521771778332393,4.2273330443394865,4.298468379699056,1.8612933054782914
2021-06-01,5.979058444,6.317130713,73.1640909090909,72.3723,6.425031818181818,1.7882631047297357,1.8432651039614651,4.292704739251463,4.2818236294978025,1.8602015830152185
2021-07-01,5.494623904,6.801460279,75.1659090909091,73.1388,6.4762571428571425,1.7037701422011324,1.9171373360390083,4.319697791610651,4.292359005695746,1.868142742077292
2021-08-01,6.278742453,7.106345769,70.74714285714286,73.5744,6.476790909090909,1.8371697140905527,1.960988155154131,4.259112152063282,4.29829713914235,1.868225157618704
2021-09-01,6.562601088,6.924131335,74.48863636363636,72.7608,6.456300000000001,1.8813870316848178,1.9350126052161045,4.310646581719594,4.287177348641703,1.865056398289512
2021-10-01,5.47640335,7.614696189,83.53809523809524,70.52,6.41721,1.7004485624930024,2.0300800891625363,4.425302758211716,4.25589635752967,1.8589834438056059
2021-11-01,6.515171269,8.313119571,81.05,74.9818,6.38893,1.8741334986426326,2.117834938061531,4.395066248181685,4.317245417421324,1.854566805228991
2021-12-01,8.088515118,8.351225724,74.1704761904762,74.2926,6.369285714285714,2.0904451688592407,2.122408321383096,4.306366175985053,4.308011350532185,1.8514873305315294
2022-01-01,7.320162681,7.785337073,86.50523809523808,77.8174,6.35557,1.9906325519065946,2.0522421021007284,4.460204968118705,4.354365056563931,1.849331593774223
2022-02-01,5.185094184,6.413359211,97.12899999999999,83.5485,6.343552631578947,1.6457880062223968,1.8583831915405202,4.576039991880956,4.425427301558876,1.847438963494647
2022-03-01,3.805156742,8.250669891,117.24521739130434,84.0851,6.344552173913043,1.3363571841577222,2.1102943959592273,4.7642676166548386,4.431829381246766,1.8475965193079835
2022-04-01,3.760909027,9.172267856,104.57526315789474,71.0237,6.430999999999999,1.3246606906819594,2.2161845682325625,4.649907033776397,4.263013624158451,1.861130047152726
2022-05-01,4.276701009,10.604277217,113.33761904761906,63.0975,6.698957142857143,1.4531819200908727,2.361257430767072,4.730371143353174,4.144681149110942,1.9019518639623227
2022-06-01,4.971492651,9.905238304,122.71095238095238,51.158,6.695190476190476,1.603720127211011,2.2930637388212234,4.809831609191753,3.9349188829050505,1.901389429252315
2022-07-01,6.695754639,10.045803713,111.92571428571429,61.3101,6.735155000000001,1.901473689594659,2.307155006315546,4.717835385931229,4.115944592828559,1.9073408237029263
2022-08-01,7.901369943,11.36828527,100.44636363636364,60.3677,6.8006782608695655,2.0670361549454412,2.4308274846038036,4.6096238898726165,4.100454193689331,1.9170223514534588
2022-09-01,7.914083396,10.770599315,89.7647619047619,57.413,7.019514285714285,2.0686438806888576,2.3768201363238837,4.497192491890844,4.050270758518844,1.9486940255747864
2022-10-01,7.334985608,10.360295035,93.33190476190477,61.5343,7.190185,1.9926554494934974,2.3379807147076916,4.5361620082615515,4.119594742919717,1.9727169015827466
2022-11-01,7.632396367,10.617897489,91.41545454545455,61.0742,7.18118,2.0324018676768714,2.3625410196601755,4.515414551097096,4.112089518408815,1.971463714960806
2022-12-01,8.740727728,9.098263591,80.924,70.3375,6.971695238095238,2.1679934502744103,2.2080835811396393,4.393510442615168,4.253305084759398,1.9418584144383435
2023-01-01,8.01858546,9.477522616,82.50142857142858,69.5927,6.790405,2.081762029763645,2.2489229546888083,4.412815609208031,4.24265967678208,1.9155105863308486
2023-02-01,6.920533675,9.461143415,82.58500000000001,75.4323,6.838042105263158,1.9344928873206724,2.247193244153026,4.413828065973053,4.323235565247418,1.9225014487388303
2023-03-01,8.890318494,11.112575739,78.43434782608696,77.0863,6.890930434782609,2.184962874980812,2.408077416474839,4.362261941440805,4.344925573470325,1.9302061172410516
2023-04-01,9.574571715,9.739873403,84.63833333333334,80.5093,6.8875649999999995,2.259110804562399,2.27622811993137,4.438387276674779,4.388372705701989,1.9297176118210708
2023-05-01,9.251524258,11.405445377,75.466,80.6872,6.985359090909091,2.2247883225974836,2.4340909060041294,4.323682223699637,4.390579950551925,1.943816400250683
2023-06-01,9.530188306,11.499754716,74.83909090909091,87.0341,7.161366666666667,2.2544644767573625,2.442325706098259,4.315340354206122,4.46629999588366,1.9687008379909694
2023-07-01,10.266102763,9.412980962,80.10809523809523,90.9783,7.186275,2.3288474741211305,2.242089690040994,4.383376913113684,4.510621016541915,1.9721729568152022
2023-08-01,9.295961236,11.626825061,86.14772727272727,95.9283,7.248621739130435,2.2295800301352844,2.453314933645698,4.456063581578097,4.563601037417751,1.9808113458468213
2023-09-01,9.643839826,11.561964331,93.72238095238096,97.4147,7.29794,2.266319351512397,2.447720773635633,4.540337018271877,4.578977123285245,1.9875921165499308
2023-10-01,8.688963177,11.212502085,90.59590909090909,93.2435,7.307109523809523,2.1620536199611053,2.4170294133380743,4.506409058507508,4.535214351000578,1.9888477815854202
2023-11-01,10.293836176,11.188994998,82.94,88.8841,7.222589999999999,2.3315452865906168,2.414930705779278,4.418117454818235,4.487333273880398,1.977213614339805
2023-12-01,10.703290515,11.236095857,77.63105263157895,89.63940000000001,7.140210000000001,2.370551218958167,2.4191314404444815,4.3519675099234805,4.495794955469897,1.9657421876836816
2024-01-01,9.201149255,10.630028515,80.12409090909091,90.3947,7.170704761904762,2.2193283952750025,2.3636828748526106,4.383576569268087,4.504185637360839,1.9700039429337601
2024-02-01,7.591295224,9.917887615,83.47809523809524,91.15,7.19349,2.0270022255970503,2.2943399565851164,4.424584264963725,4.512506501124672,1.9731764503501046
2024-03-01,7.456257276,12.182479685,85.4085,92.48,7.201485714285714,2.009053582689263,2.4999988281782133,4.4474456274575065,4.5269924049240675,1.9742873539412897
2024-04-01,8.29660789,11.591786521,89.93809523809524,93.0525,7.237431818181818,2.115846743315063,2.4502967887860017,4.499121602978377,4.533163850003,1.979266422223557
2024-05-01,9.075194053,10.824551709,81.74619047619048,90.1,7.232713636363636,2.205544763172985,2.381816860467519,4.403619209011937,4.500920164614292,1.978614295816091
2024-06-01,9.884656298,10.50039716,82.24600000000001,85.5332,7.254747368421053,2.290983685962448,2.351413081210044,4.4097147562440515,4.448904604665758,1.981656064009813
2024-07-01,9.979325783,9.737320136,85.15304347826087,85.9988,7.260936363636364,2.3005155312276813,2.2759659397554106,4.444450149021455,4.454333342667785,1.9825087962275414
2024-08-01,10.246227078,11.510499859,80.3552380952381,90.6509,7.1474863636363635,2.326909547871463,2.443259650027129,4.386457281038621,4.507015865447217,1.9667607373617038
2024-09-01,11.234479764,10.67234186,74.01666666666667,92.9955,7.0760000000000005,2.418987599625266,2.3676555220185316,4.304290293070002,4.532551104885789,1.9567087762975388
2024-10-01,10.982690125,10.899361149,75.63260869565217,97.3705,7.088118181818182,2.396320408350095,2.388704177333968,4.325887522141672,4.578523290029344,1.9584198866708584
2024-11-01,10.030916673,10.612448742,74.3452380952381,106.4955,7.206284210526316,2.3056719909183854,2.362027721661137,4.308719623716365,4.668102730735648,1.974953452364996
2024-12-01,11.297062066,10.802254794,73.8595,113.4955,7.280695238095238,2.4245426977546622,2.3797548895614646,4.302164639837463,4.731763188558379,1.9852263573871418
