t,i,j,k,v,q
2017,156,643,210230,201.007,62.58
2017,156,643,210310,5716.023,6517.074
2017,156,643,210320,91.982,77.336
2017,156,643,210330,145.567,6.393
2017,156,643,210390,16431.15,12147.9
2017,156,643,210410,483.74,130.586
2017,156,643,210500,143.103,93.883
2017,156,643,210610,4668.606,4667.331
2017,156,643,210690,41529.311,20368.232
2017,156,643,220110,5.34,7.167
2017,156,643,220190,124.813,386.184
2017,156,643,220210,1179.481,1596.982
2017,156,643,220291,0.005,0.006
2017,156,643,220299,1340.347,2596.929
2017,156,643,220300,3494.275,6664.808
2017,156,643,220421,79.365,21.915
2017,156,643,220600,79.856,76.607
2017,156,643,220720,10.641,0.281
2017,156,643,220860,60.333,13.171
2017,156,643,220870,5.507,0.145
2017,156,643,220890,211.252,38.506
2017,156,643,220900,352.498,527.043
2017,156,643,230210,14.573,38.0
2017,156,643,230250,56.515,128.705
2017,156,643,230310,13235.772,37646.105
2017,156,643,230400,325.749,580.666
2017,156,643,230690,32.975,66.475
2017,156,643,230910,5244.677,2021.586
2017,156,643,230990,46247.248,24846.378
2017,156,643,240110,3952.366,580.56
2017,156,643,240120,26875.375,5357.95
2017,156,643,240130,2235.138,4005.092
2017,156,643,240399,1.117,0.032
2017,156,643,250100,841.535,6433.168
2017,156,643,250200,14.212,52.0
2017,156,643,250410,2028.286,1297.301
2017,156,643,250510,243.536,584.926
2017,156,643,250590,15.106,20.412
2017,156,643,250610,327.378,363.971
2017,156,643,250620,104.433,19.712
2017,156,643,250700,559.668,1519.829
2017,156,643,250810,1373.103,4495.261
2017,156,643,250830,715.882,350.336
2017,156,643,250840,21.702,42.911
2017,156,643,250850,0.74,1.0
2017,156,643,250860,299.783,944.0
2017,156,643,250870,13.359,19.628
2017,156,643,250900,61.255,227.688
2017,156,643,251020,18.401,167.28
2017,156,643,251110,1535.402,5453.438
2017,156,643,251120,0.555,0.015
2017,156,643,251200,713.042,1660.888
2017,156,643,251310,54.013,37.08
2017,156,643,251320,1973.588,7521.755
2017,156,643,251400,6.195,22.333
2017,156,643,251512,2.772,1.196
2017,156,643,251611,20.108,47.301
2017,156,643,251612,12.784,39.736
2017,156,643,251620,3.213,10.008
2017,156,643,251690,1.996,19.96
2017,156,643,251710,33.594,108.772
2017,156,643,251720,5.772,10.089
2017,156,643,251741,528.742,557.199
2017,156,643,251749,23.591,56.095
2017,156,643,251810,8.789,31.107
2017,156,643,251910,4.324,10.05
2017,156,643,251990,34621.709,56053.78
2017,156,643,252010,515.341,2825.63
2017,156,643,252020,18.594,22.581
2017,156,643,252210,1574.91,7095.005
2017,156,643,252220,48.856,222.339
2017,156,643,252310,2.962,10.69
2017,156,643,252329,0.515,6.976
2017,156,643,252390,0.849,4.5
2017,156,643,252490,0.293,0.026
2017,156,643,252510,77.059,73.32
2017,156,643,252520,55.679,57.249
2017,156,643,252610,76.042,303.879
2017,156,643,252620,936.613,3476.97
2017,156,643,252921,176.645,693.882
2017,156,643,253010,340.307,1586.032
2017,156,643,253090,1712.659,8712.713
2017,156,643,260112,0.012,0.16
2017,156,643,260200,9.447,12.577
2017,156,643,260600,4819.706,11821.095
2017,156,643,261510,15.985,9.932
2017,156,643,262190,16.974,26.381
2017,156,643,270400,318.084,871.473
2017,156,643,270799,43.876,20.003
2017,156,643,270810,55149.813,91735.864
2017,156,643,271000,88130.866,17078.107
2017,156,643,271112,118.438,48.085
2017,156,643,271113,50.553,24.509
2017,156,643,271114,9.252,3.571
2017,156,643,271119,305.021,73.232
2017,156,643,271220,101.526,61.366
2017,156,643,271290,122.715,54.584
2017,156,643,271312,20095.971,50074.766
2017,156,643,271320,5.636,18.18
2017,156,643,271490,394.784,328.321
2017,156,643,271500,978.708,1122.886
2017,156,643,280300,282.966,148.401
2017,156,643,280421,38.071,724.638
2017,156,643,280429,326.444,0.247
2017,156,643,280430,0.015,0.015
2017,156,643,280440,7.0,0.009
2017,156,643,280450,1.47,0.005
2017,156,643,280461,4605.539,110.147
2017,156,643,280469,24641.063,12915.007
2017,156,643,280470,847.821,237.045
2017,156,643,280490,19.723,0.4
2017,156,643,280511,552.286,148.655
2017,156,643,280512,7867.422,2288.101
2017,156,643,280519,542.668,101.725
2017,156,643,280530,548.44,50.78
2017,156,643,280610,0.322,0.014
2017,156,643,280700,0.28,0.18
2017,156,643,280910,93.669,58.838
2017,156,643,280920,6592.355,8829.263
2017,156,643,281111,247.217,285.732
2017,156,643,281119,1435.338,1869.584
2017,156,643,281121,377.372,1119.218
2017,156,643,281122,17526.66,21922.626
2017,156,643,281129,34.778,1.375
2017,156,643,281212,44.039,0.053
2017,156,643,281214,2.148,0.4
2017,156,643,281219,0.16,
2017,156,643,281290,256.192,72.218
2017,156,643,281390,2465.542,1626.931
2017,156,643,281511,7688.245,15105.315
2017,156,643,281520,1018.657,1377.098
2017,156,643,281530,486.675,19.814
2017,156,643,281610,6.347,37.589
2017,156,643,281640,71.757,115.663
2017,156,643,281700,182.465,46.417
2017,156,643,281810,12461.108,16638.094
2017,156,643,281820,3429.116,1222.721
2017,156,643,281830,518.234,970.7
2017,156,643,281910,0.122,0.054
2017,156,643,281990,651.56,108.39
2017,156,643,282010,45.063,25.192
2017,156,643,282090,25.208,6.691
2017,156,643,282110,9808.75,9822.375
2017,156,643,282120,0.82,0.1
2017,156,643,282200,451.098,10.917
2017,156,643,282300,1544.012,1181.117
2017,156,643,282410,151.201,50.0
2017,156,643,282490,41.401,14.0
2017,156,643,282510,213.709,59.194
2017,156,643,282520,1720.049,212.325
2017,156,643,282530,54.937,5.555
2017,156,643,282540,4.936,0.12
2017,156,643,282550,2.979,0.5
2017,156,643,282560,653.139,120.956
2017,156,643,282570,4408.221,174.202
2017,156,643,282580,5178.469,935.229
2017,156,643,282590,304.091,3687.764
2017,156,643,282612,21387.117,18658.612
2017,156,643,282619,1276.83,1160.452
2017,156,643,282630,905.968,1170.767
2017,156,643,282690,2340.46,3588.948
2017,156,643,282710,907.14,5240.178
2017,156,643,282720,2733.067,15508.838
2017,156,643,282731,638.523,1999.327
2017,156,643,282732,528.434,1094.168
2017,156,643,282739,8620.5,6597.005
2017,156,643,282741,24.0,5.0
2017,156,643,282749,1480.44,1744.94
2017,156,643,282751,1296.72,429.064
2017,156,643,282759,1289.357,321.696
2017,156,643,282760,14.838,0.655
2017,156,643,282810,22746.878,29436.44
2017,156,643,282890,57.146,21.341
2017,156,643,282911,17.996,25.898
2017,156,643,282919,504.921,548.234
2017,156,643,282990,85.958,41.815
2017,156,643,283010,8356.614,21840.136
2017,156,643,283090,150.137,15.616
2017,156,643,283110,559.824,541.776
2017,156,643,283190,40.325,20.0
2017,156,643,283210,3529.93,9501.884
2017,156,643,283220,261.734,599.898
2017,156,643,283230,207.881,727.865
2017,156,643,283311,19.872,132.729
2017,156,643,283319,63.094,138.673
2017,156,643,283321,654.935,3867.451
2017,156,643,283322,438.03,1541.059
2017,156,643,283325,359.116,182.0
2017,156,643,283327,1609.079,2972.628
2017,156,643,283329,9154.638,13766.634
2017,156,643,283330,13.614,8.845
2017,156,643,283340,2141.618,1785.336
2017,156,643,283410,373.602,783.357
2017,156,643,283421,1.825,0.1
2017,156,643,283429,3659.997,2913.603
2017,156,643,283510,773.561,357.468
2017,156,643,283522,122.618,153.157
2017,156,643,283524,3751.831,3983.785
2017,156,643,283525,784.107,782.379
2017,156,643,283526,389.655,931.441
2017,156,643,283529,1867.556,2544.859
2017,156,643,283531,672.115,692.723
2017,156,643,283539,11710.104,8629.763
2017,156,643,283620,492.044,1590.168
2017,156,643,283630,97.422,260.477
2017,156,643,283640,55.615,57.112
2017,156,643,283650,242.91,602.452
2017,156,643,283660,2790.463,6443.254
2017,156,643,283691,198.28,12.95
2017,156,643,283692,292.883,288.554
2017,156,643,283699,1940.874,3202.957
2017,156,643,283711,11920.493,7343.814
2017,156,643,283720,277.957,207.647
2017,156,643,283911,727.138,1692.995
2017,156,643,283919,453.817,1338.421
2017,156,643,283990,5.813,3.067
2017,156,643,284011,0.02,0.05
2017,156,643,284019,0.925,0.104
2017,156,643,284020,2002.526,1004.731
2017,156,643,284150,79.784,10.187
2017,156,643,284161,794.822,375.462
2017,156,643,284169,3.509,0.012
2017,156,643,284170,302.372,25.197
2017,156,643,284180,1.286,0.252
2017,156,643,284190,466.704,103.638
